a,omega0_lattice,omega0_physical,delta
0.5,0.34785054261851817,0.6957010852370363,0.121
0.75,0.3478505426185252,0.463800723491367,0.121
1.0,0.34785054261852166,0.34785054261852166,0.121
1.25,0.3478505426185198,0.27828043409481584,0.121
1.5,0.34785054261852477,0.23190036174568318,0.121
