L,delta,A_norm,lambda_min,omega0,type
12,0.121,0.0,0.12100000000000036,0.3478505426185222,identity
12,0.121,0.025,0.11687084934443584,0.3418637877056238,gauge_dressed
12,0.121,0.05,0.11377465145659024,0.33730498285170685,gauge_dressed
