L,beta,seed,acceptance_rate,plaquette_mean,plaquette_std,creutz22_mean,creutz22_std,gauge_abs_diff_max,m_eff_cosh_estimate,m_boot_mean,m_boot_std,m_boot_ci68_halfwidth,n_cfg,m_eff_positive
4,2.1,121,0.8764485677083333,0.28107550581104684,0.14846722468836274,0.6390985805345144,0.9184444108609701,2.7755575615628914e-17,0.3401437370802876,0.34430990765931674,0.07084119105185868,0.06564773231277682,20,True
4,2.3,122,0.871533203125,0.27346899472228,0.16642792488906483,-0.15481355319703768,0.12656763400178633,1.3877787807814457e-17,0.3338819723209226,0.3476896132350484,0.0488104351160793,0.047014930669071836,20,True
6,2.1,123,0.8782921810699589,0.2674097377756904,0.14694755477618573,0.2702010397509213,0.4305721091871164,1.3877787807814457e-17,0.09640409868689562,0.12238320357762612,0.040016908332510405,0.0371883366195475,20,True
6,2.3,124,0.8687403549382716,0.2672113961448014,0.15408194476194134,0.3301776428745645,0.7440821216052957,6.938893903907228e-18,0.09536316344254368,0.09296620338060918,0.015092207430182802,0.015798108311271014,20,True
8,2.1,125,0.8700212751116071,0.541042366678753,0.06267422993447885,0.001540707854862158,0.012960650722454515,0.0,0.0870500811518569,0.0924936230846287,0.020236287680708637,0.015993853315355223,14,True
8,2.3,126,0.8605608258928571,0.5445270352574868,0.06432549239813275,-0.05529287761290567,0.013803807682129174,0.0,0.08056230154034771,0.08450551641091018,0.01543755200520106,0.011266827856953647,14,True
