observable,before,after,abs_diff
plaquette,-0.23283967723225954,-0.23283967723225957,2.7755575615628914e-17
W11,-0.2544232028598818,-0.2544232028598818,0.0
W22,0.0063917552291799596,0.0063917552291799665,6.938893903907228e-18
